,patient,accuracy,bands
0,1,0.9,6-30Hz
1,1,0.8833333333333333,6-30Hz
2,1,0.7666666666666667,6-30Hz
3,1,0.9,6-30Hz
4,1,0.8333333333333334,6-30Hz
5,1,0.9166666666666666,6-30Hz
6,1,0.95,6-30Hz
7,1,0.7833333333333333,6-30Hz
8,1,0.8333333333333334,6-30Hz
9,1,0.85,6-30Hz
10,1,0.8833333333333333,9-14Hz
11,1,0.8666666666666667,9-14Hz
12,1,0.7333333333333333,9-14Hz
13,1,0.85,9-14Hz
14,1,0.8333333333333334,9-14Hz
15,1,0.8333333333333334,9-14Hz
16,1,0.8833333333333333,9-14Hz
17,1,0.8166666666666667,9-14Hz
18,1,0.7666666666666667,9-14Hz
19,1,0.8,9-14Hz
20,1,0.8333333333333334,10-12Hz
21,1,0.8166666666666667,10-12Hz
22,1,0.8,10-12Hz
23,1,0.9,10-12Hz
24,1,0.8333333333333334,10-12Hz
25,1,0.8333333333333334,10-12Hz
26,1,0.8666666666666667,10-12Hz
27,1,0.7666666666666667,10-12Hz
28,1,0.75,10-12Hz
29,1,0.7833333333333333,10-12Hz
30,2,0.5166666666666667,6-30Hz
31,2,0.5833333333333334,6-30Hz
32,2,0.5833333333333334,6-30Hz
33,2,0.6,6-30Hz
34,2,0.6333333333333333,6-30Hz
35,2,0.5,6-30Hz
36,2,0.38333333333333336,6-30Hz
37,2,0.5666666666666667,6-30Hz
38,2,0.6333333333333333,6-30Hz
39,2,0.55,6-30Hz
40,2,0.4666666666666667,9-14Hz
41,2,0.55,9-14Hz
42,2,0.45,9-14Hz
43,2,0.5166666666666667,9-14Hz
44,2,0.5833333333333334,9-14Hz
45,2,0.55,9-14Hz
46,2,0.5833333333333334,9-14Hz
47,2,0.48333333333333334,9-14Hz
48,2,0.5333333333333333,9-14Hz
49,2,0.5333333333333333,9-14Hz
50,2,0.55,10-12Hz
51,2,0.5666666666666667,10-12Hz
52,2,0.5666666666666667,10-12Hz
53,2,0.4166666666666667,10-12Hz
54,2,0.5,10-12Hz
55,2,0.6,10-12Hz
56,2,0.6333333333333333,10-12Hz
57,2,0.5,10-12Hz
58,2,0.5,10-12Hz
59,2,0.5,10-12Hz
60,3,0.8666666666666667,6-30Hz
61,3,0.95,6-30Hz
62,3,0.8833333333333333,6-30Hz
63,3,0.8666666666666667,6-30Hz
64,3,0.85,6-30Hz
65,3,0.85,6-30Hz
66,3,0.9,6-30Hz
67,3,0.8666666666666667,6-30Hz
68,3,0.8166666666666667,6-30Hz
69,3,0.8666666666666667,6-30Hz
70,3,0.8,9-14Hz
71,3,0.9,9-14Hz
72,3,0.9,9-14Hz
73,3,0.85,9-14Hz
74,3,0.8333333333333334,9-14Hz
75,3,0.85,9-14Hz
76,3,0.9,9-14Hz
77,3,0.9166666666666666,9-14Hz
78,3,0.8,9-14Hz
79,3,0.8666666666666667,9-14Hz
80,3,0.6333333333333333,10-12Hz
81,3,0.8333333333333334,10-12Hz
82,3,0.6666666666666666,10-12Hz
83,3,0.8,10-12Hz
84,3,0.65,10-12Hz
85,3,0.6666666666666666,10-12Hz
86,3,0.7333333333333333,10-12Hz
87,3,0.65,10-12Hz
88,3,0.65,10-12Hz
89,3,0.7166666666666667,10-12Hz
90,4,0.8166666666666667,6-30Hz
91,4,0.85,6-30Hz
92,4,0.8166666666666667,6-30Hz
93,4,0.8666666666666667,6-30Hz
94,4,0.8666666666666667,6-30Hz
95,4,0.75,6-30Hz
96,4,0.8,6-30Hz
97,4,0.8,6-30Hz
98,4,0.8166666666666667,6-30Hz
99,4,0.7666666666666667,6-30Hz
100,4,0.9,9-14Hz
101,4,0.85,9-14Hz
102,4,0.85,9-14Hz
103,4,0.9,9-14Hz
104,4,0.9333333333333333,9-14Hz
105,4,0.8666666666666667,9-14Hz
106,4,0.9,9-14Hz
107,4,0.7833333333333333,9-14Hz
108,4,0.9166666666666666,9-14Hz
109,4,0.95,9-14Hz
110,4,0.7666666666666667,10-12Hz
111,4,0.7833333333333333,10-12Hz
112,4,0.7333333333333333,10-12Hz
113,4,0.75,10-12Hz
114,4,0.7833333333333333,10-12Hz
115,4,0.7666666666666667,10-12Hz
116,4,0.7666666666666667,10-12Hz
117,4,0.7166666666666667,10-12Hz
118,4,0.7166666666666667,10-12Hz
119,4,0.7666666666666667,10-12Hz
120,5,0.7666666666666667,6-30Hz
121,5,0.7,6-30Hz
122,5,0.6,6-30Hz
123,5,0.7,6-30Hz
124,5,0.7166666666666667,6-30Hz
125,5,0.7833333333333333,6-30Hz
126,5,0.6833333333333333,6-30Hz
127,5,0.75,6-30Hz
128,5,0.7333333333333333,6-30Hz
129,5,0.7833333333333333,6-30Hz
130,5,0.7,9-14Hz
131,5,0.75,9-14Hz
132,5,0.6833333333333333,9-14Hz
133,5,0.65,9-14Hz
134,5,0.7166666666666667,9-14Hz
135,5,0.8,9-14Hz
136,5,0.6666666666666666,9-14Hz
137,5,0.75,9-14Hz
138,5,0.7,9-14Hz
139,5,0.7333333333333333,9-14Hz
140,5,0.7166666666666667,10-12Hz
141,5,0.7166666666666667,10-12Hz
142,5,0.7333333333333333,10-12Hz
143,5,0.6166666666666667,10-12Hz
144,5,0.7,10-12Hz
145,5,0.7833333333333333,10-12Hz
146,5,0.7166666666666667,10-12Hz
147,5,0.6833333333333333,10-12Hz
148,5,0.7333333333333333,10-12Hz
149,5,0.7833333333333333,10-12Hz
150,6,0.6851851851851852,6-30Hz
151,6,0.6666666666666666,6-30Hz
152,6,0.6666666666666666,6-30Hz
153,6,0.6111111111111112,6-30Hz
154,6,0.7037037037037037,6-30Hz
155,6,0.7037037037037037,6-30Hz
156,6,0.6111111111111112,6-30Hz
157,6,0.7222222222222222,6-30Hz
158,6,0.6851851851851852,6-30Hz
159,6,0.6851851851851852,6-30Hz
160,6,0.7037037037037037,9-14Hz
161,6,0.6851851851851852,9-14Hz
162,6,0.6666666666666666,9-14Hz
163,6,0.6111111111111112,9-14Hz
164,6,0.6851851851851852,9-14Hz
165,6,0.6296296296296297,9-14Hz
166,6,0.7037037037037037,9-14Hz
167,6,0.6296296296296297,9-14Hz
168,6,0.6481481481481481,9-14Hz
169,6,0.5925925925925926,9-14Hz
170,6,0.7222222222222222,10-12Hz
171,6,0.6296296296296297,10-12Hz
172,6,0.7037037037037037,10-12Hz
173,6,0.6666666666666666,10-12Hz
174,6,0.7407407407407407,10-12Hz
175,6,0.6296296296296297,10-12Hz
176,6,0.7407407407407407,10-12Hz
177,6,0.6111111111111112,10-12Hz
178,6,0.6666666666666666,10-12Hz
179,6,0.6296296296296297,10-12Hz
180,7,0.6666666666666666,6-30Hz
181,7,0.6805555555555556,6-30Hz
182,7,0.5972222222222222,6-30Hz
183,7,0.5694444444444444,6-30Hz
184,7,0.5972222222222222,6-30Hz
185,7,0.6111111111111112,6-30Hz
186,7,0.5694444444444444,6-30Hz
187,7,0.5138888888888888,6-30Hz
188,7,0.625,6-30Hz
189,7,0.5972222222222222,6-30Hz
190,7,0.6805555555555556,9-14Hz
191,7,0.625,9-14Hz
192,7,0.5972222222222222,9-14Hz
193,7,0.5833333333333334,9-14Hz
194,7,0.6388888888888888,9-14Hz
195,7,0.6944444444444444,9-14Hz
196,7,0.7222222222222222,9-14Hz
197,7,0.6527777777777778,9-14Hz
198,7,0.6388888888888888,9-14Hz
199,7,0.6388888888888888,9-14Hz
200,7,0.6111111111111112,10-12Hz
201,7,0.6388888888888888,10-12Hz
202,7,0.625,10-12Hz
203,7,0.6527777777777778,10-12Hz
204,7,0.5,10-12Hz
205,7,0.5694444444444444,10-12Hz
206,7,0.4861111111111111,10-12Hz
207,7,0.5833333333333334,10-12Hz
208,7,0.5555555555555556,10-12Hz
209,7,0.6111111111111112,10-12Hz
210,8,0.5,6-30Hz
211,8,0.48333333333333334,6-30Hz
212,8,0.5,6-30Hz
213,8,0.5166666666666667,6-30Hz
214,8,0.5166666666666667,6-30Hz
215,8,0.6166666666666667,6-30Hz
216,8,0.5166666666666667,6-30Hz
217,8,0.5333333333333333,6-30Hz
218,8,0.45,6-30Hz
219,8,0.5166666666666667,6-30Hz
220,8,0.6333333333333333,9-14Hz
221,8,0.6166666666666667,9-14Hz
222,8,0.6666666666666666,9-14Hz
223,8,0.5666666666666667,9-14Hz
224,8,0.5666666666666667,9-14Hz
225,8,0.6333333333333333,9-14Hz
226,8,0.7833333333333333,9-14Hz
227,8,0.6,9-14Hz
228,8,0.5,9-14Hz
229,8,0.65,9-14Hz
230,8,0.55,10-12Hz
231,8,0.5833333333333334,10-12Hz
232,8,0.6666666666666666,10-12Hz
233,8,0.4666666666666667,10-12Hz
234,8,0.5,10-12Hz
235,8,0.5166666666666667,10-12Hz
236,8,0.65,10-12Hz
237,8,0.55,10-12Hz
238,8,0.5166666666666667,10-12Hz
239,8,0.6,10-12Hz
240,9,0.6944444444444444,6-30Hz
241,9,0.7916666666666666,6-30Hz
242,9,0.6805555555555556,6-30Hz
243,9,0.625,6-30Hz
244,9,0.6111111111111112,6-30Hz
245,9,0.7083333333333334,6-30Hz
246,9,0.6944444444444444,6-30Hz
247,9,0.6666666666666666,6-30Hz
248,9,0.6666666666666666,6-30Hz
249,9,0.7222222222222222,6-30Hz
250,9,0.7638888888888888,9-14Hz
251,9,0.7638888888888888,9-14Hz
252,9,0.6527777777777778,9-14Hz
253,9,0.6944444444444444,9-14Hz
254,9,0.6805555555555556,9-14Hz
255,9,0.8055555555555556,9-14Hz
256,9,0.8055555555555556,9-14Hz
257,9,0.7361111111111112,9-14Hz
258,9,0.7777777777777778,9-14Hz
259,9,0.7777777777777778,9-14Hz
260,9,0.6944444444444444,10-12Hz
261,9,0.7916666666666666,10-12Hz
262,9,0.7083333333333334,10-12Hz
263,9,0.6805555555555556,10-12Hz
264,9,0.625,10-12Hz
265,9,0.75,10-12Hz
266,9,0.7361111111111112,10-12Hz
267,9,0.7361111111111112,10-12Hz
268,9,0.7222222222222222,10-12Hz
269,9,0.7361111111111112,10-12Hz
270,10,0.7166666666666667,6-30Hz
271,10,0.7333333333333333,6-30Hz
272,10,0.8,6-30Hz
273,10,0.7,6-30Hz
274,10,0.6666666666666666,6-30Hz
275,10,0.8333333333333334,6-30Hz
276,10,0.7833333333333333,6-30Hz
277,10,0.8,6-30Hz
278,10,0.7333333333333333,6-30Hz
279,10,0.75,6-30Hz
280,10,0.8333333333333334,9-14Hz
281,10,0.85,9-14Hz
282,10,0.8666666666666667,9-14Hz
283,10,0.8666666666666667,9-14Hz
284,10,0.8833333333333333,9-14Hz
285,10,0.8666666666666667,9-14Hz
286,10,0.8333333333333334,9-14Hz
287,10,0.8333333333333334,9-14Hz
288,10,0.8666666666666667,9-14Hz
289,10,0.9,9-14Hz
290,10,0.8833333333333333,10-12Hz
291,10,0.8333333333333334,10-12Hz
292,10,0.9166666666666666,10-12Hz
293,10,0.75,10-12Hz
294,10,0.8,10-12Hz
295,10,0.8166666666666667,10-12Hz
296,10,0.7833333333333333,10-12Hz
297,10,0.85,10-12Hz
298,10,0.8666666666666667,10-12Hz
299,10,0.8833333333333333,10-12Hz
300,11,0.6666666666666666,6-30Hz
301,11,0.7166666666666667,6-30Hz
302,11,0.7166666666666667,6-30Hz
303,11,0.6333333333333333,6-30Hz
304,11,0.6333333333333333,6-30Hz
305,11,0.6833333333333333,6-30Hz
306,11,0.7333333333333333,6-30Hz
307,11,0.6166666666666667,6-30Hz
308,11,0.6166666666666667,6-30Hz
309,11,0.7166666666666667,6-30Hz
310,11,0.7333333333333333,9-14Hz
311,11,0.65,9-14Hz
312,11,0.7,9-14Hz
313,11,0.6333333333333333,9-14Hz
314,11,0.8,9-14Hz
315,11,0.6833333333333333,9-14Hz
316,11,0.7333333333333333,9-14Hz
317,11,0.8166666666666667,9-14Hz
318,11,0.6666666666666666,9-14Hz
319,11,0.75,9-14Hz
320,11,0.5333333333333333,10-12Hz
321,11,0.5833333333333334,10-12Hz
322,11,0.6,10-12Hz
323,11,0.6166666666666667,10-12Hz
324,11,0.7833333333333333,10-12Hz
325,11,0.6166666666666667,10-12Hz
326,11,0.6333333333333333,10-12Hz
327,11,0.6333333333333333,10-12Hz
328,11,0.6,10-12Hz
329,11,0.65,10-12Hz
330,12,0.7169811320754716,6-30Hz
331,12,0.7924528301886793,6-30Hz
332,12,0.8679245283018868,6-30Hz
333,12,0.7924528301886793,6-30Hz
334,12,0.7547169811320755,6-30Hz
335,12,0.7924528301886793,6-30Hz
336,12,0.6981132075471698,6-30Hz
337,12,0.7358490566037735,6-30Hz
338,12,0.7169811320754716,6-30Hz
339,12,0.7358490566037735,6-30Hz
340,12,0.6981132075471698,9-14Hz
