,patient,accuracy,classifier
0,1,0.8833333333333333,LDA
1,1,0.8666666666666667,LDA
2,1,0.7333333333333333,LDA
3,1,0.85,LDA
4,1,0.8333333333333334,LDA
5,1,0.8333333333333334,LDA
6,1,0.8833333333333333,LDA
7,1,0.8166666666666667,LDA
8,1,0.7666666666666667,LDA
9,1,0.8,LDA
10,1,0.7333333333333333,MLP
11,1,0.8,MLP
12,1,0.6833333333333333,MLP
13,1,0.8333333333333334,MLP
14,1,0.8166666666666667,MLP
15,1,0.8,MLP
16,1,0.8666666666666667,MLP
17,1,0.8,MLP
18,1,0.7166666666666667,MLP
19,1,0.8,MLP
20,2,0.4666666666666667,LDA
21,2,0.55,LDA
22,2,0.45,LDA
23,2,0.5166666666666667,LDA
24,2,0.5833333333333334,LDA
25,2,0.55,LDA
26,2,0.5833333333333334,LDA
27,2,0.48333333333333334,LDA
28,2,0.5333333333333333,LDA
29,2,0.5333333333333333,LDA
30,2,0.48333333333333334,MLP
31,2,0.5666666666666667,MLP
32,2,0.5833333333333334,MLP
33,2,0.5,MLP
34,2,0.5666666666666667,MLP
35,2,0.6333333333333333,MLP
36,2,0.5666666666666667,MLP
37,2,0.55,MLP
38,2,0.55,MLP
39,2,0.5666666666666667,MLP
40,3,0.8,LDA
41,3,0.9,LDA
42,3,0.9,LDA
43,3,0.85,LDA
44,3,0.8333333333333334,LDA
45,3,0.85,LDA
46,3,0.9,LDA
47,3,0.9166666666666666,LDA
48,3,0.8,LDA
49,3,0.8666666666666667,LDA
50,3,0.85,MLP
51,3,0.9666666666666667,MLP
52,3,0.8833333333333333,MLP
53,3,0.8333333333333334,MLP
54,3,0.8666666666666667,MLP
55,3,0.8166666666666667,MLP
56,3,0.9166666666666666,MLP
57,3,0.8833333333333333,MLP
58,3,0.8166666666666667,MLP
59,3,0.9,MLP
60,4,0.9,LDA
61,4,0.85,LDA
62,4,0.85,LDA
63,4,0.9,LDA
64,4,0.9333333333333333,LDA
65,4,0.8666666666666667,LDA
66,4,0.9,LDA
67,4,0.7833333333333333,LDA
68,4,0.9166666666666666,LDA
69,4,0.95,LDA
70,4,0.8333333333333334,MLP
71,4,0.85,MLP
72,4,0.85,MLP
73,4,0.85,MLP
74,4,0.85,MLP
75,4,0.85,MLP
76,4,0.8666666666666667,MLP
77,4,0.75,MLP
78,4,0.8333333333333334,MLP
79,4,0.9166666666666666,MLP
80,5,0.7,LDA
81,5,0.75,LDA
82,5,0.6833333333333333,LDA
83,5,0.65,LDA
84,5,0.7166666666666667,LDA
85,5,0.8,LDA
86,5,0.6666666666666666,LDA
87,5,0.75,LDA
88,5,0.7,LDA
89,5,0.7333333333333333,LDA
90,5,0.6666666666666666,MLP
91,5,0.7166666666666667,MLP
92,5,0.6666666666666666,MLP
93,5,0.6333333333333333,MLP
94,5,0.75,MLP
95,5,0.8,MLP
96,5,0.6666666666666666,MLP
97,5,0.75,MLP
98,5,0.7166666666666667,MLP
99,5,0.6833333333333333,MLP
100,6,0.7037037037037037,LDA
101,6,0.6851851851851852,LDA
102,6,0.6666666666666666,LDA
103,6,0.6111111111111112,LDA
104,6,0.6851851851851852,LDA
105,6,0.6296296296296297,LDA
106,6,0.7037037037037037,LDA
107,6,0.6296296296296297,LDA
108,6,0.6481481481481481,LDA
109,6,0.5925925925925926,LDA
110,6,0.6296296296296297,MLP
111,6,0.6296296296296297,MLP
112,6,0.6666666666666666,MLP
113,6,0.6296296296296297,MLP
114,6,0.7037037037037037,MLP
115,6,0.5555555555555556,MLP
116,6,0.5740740740740741,MLP
117,6,0.6296296296296297,MLP
118,6,0.6111111111111112,MLP
119,6,0.5370370370370371,MLP
120,7,0.6805555555555556,LDA
121,7,0.625,LDA
122,7,0.5972222222222222,LDA
123,7,0.5833333333333334,LDA
124,7,0.6388888888888888,LDA
125,7,0.6944444444444444,LDA
126,7,0.7222222222222222,LDA
127,7,0.6527777777777778,LDA
128,7,0.6388888888888888,LDA
129,7,0.6388888888888888,LDA
130,7,0.6527777777777778,MLP
131,7,0.5416666666666666,MLP
132,7,0.6527777777777778,MLP
133,7,0.6527777777777778,MLP
134,7,0.5555555555555556,MLP
135,7,0.5972222222222222,MLP
136,7,0.6388888888888888,MLP
137,7,0.625,MLP
138,7,0.5138888888888888,MLP
139,7,0.6388888888888888,MLP
140,8,0.6333333333333333,LDA
141,8,0.6166666666666667,LDA
142,8,0.6666666666666666,LDA
143,8,0.5666666666666667,LDA
