,patient,accuracy,class,bands
0,1,1.0,0,6-30Hz
1,1,0.7619047619047619,1,6-30Hz
2,1,0.95,2,6-30Hz
3,1,1.0,0,6-30Hz
4,1,0.9411764705882353,1,6-30Hz
5,1,0.6470588235294118,2,6-30Hz
6,1,1.0,0,6-30Hz
7,1,0.7727272727272727,1,6-30Hz
8,1,0.625,2,6-30Hz
9,1,1.0,0,6-30Hz
10,1,0.8571428571428571,1,6-30Hz
11,1,0.8571428571428571,2,6-30Hz
12,1,0.9523809523809523,0,6-30Hz
13,1,0.8125,1,6-30Hz
14,1,0.7391304347826086,2,6-30Hz
15,1,1.0,0,6-30Hz
16,1,0.9523809523809523,1,6-30Hz
17,1,0.8260869565217391,2,6-30Hz
18,1,1.0,0,6-30Hz
19,1,0.9444444444444444,1,6-30Hz
20,1,0.9,2,6-30Hz
21,1,1.0,0,6-30Hz
22,1,0.7727272727272727,1,6-30Hz
23,1,0.6666666666666666,2,6-30Hz
24,1,1.0,0,6-30Hz
25,1,0.8636363636363636,1,6-30Hz
26,1,0.65,2,6-30Hz
27,1,0.9473684210526315,0,6-30Hz
28,1,0.7222222222222222,1,6-30Hz
29,1,0.8695652173913043,2,6-30Hz
30,1,1.0,0,9-14Hz
31,1,0.7619047619047619,1,9-14Hz
32,1,0.9,2,9-14Hz
33,1,1.0,0,9-14Hz
34,1,0.9411764705882353,1,9-14Hz
35,1,0.5882352941176471,2,9-14Hz
36,1,1.0,0,9-14Hz
37,1,0.6363636363636364,1,9-14Hz
38,1,0.6666666666666666,2,9-14Hz
39,1,1.0,0,9-14Hz
40,1,0.7619047619047619,1,9-14Hz
41,1,0.8095238095238095,2,9-14Hz
42,1,1.0,0,9-14Hz
43,1,0.8125,1,9-14Hz
44,1,0.6956521739130435,2,9-14Hz
45,1,1.0,0,9-14Hz
46,1,0.8571428571428571,1,9-14Hz
47,1,0.6956521739130435,2,9-14Hz
48,1,1.0,0,9-14Hz
49,1,0.8333333333333334,1,9-14Hz
50,1,0.8,2,9-14Hz
51,1,1.0,0,9-14Hz
52,1,0.8636363636363636,1,9-14Hz
53,1,0.6666666666666666,2,9-14Hz
54,1,1.0,0,9-14Hz
55,1,0.6818181818181818,1,9-14Hz
56,1,0.65,2,9-14Hz
57,1,1.0,0,9-14Hz
58,1,0.6666666666666666,1,9-14Hz
59,1,0.7391304347826086,2,9-14Hz
60,1,1.0,0,10-12Hz
61,1,0.7142857142857143,1,10-12Hz
62,1,0.8,2,10-12Hz
63,1,0.9230769230769231,0,10-12Hz
64,1,0.8823529411764706,1,10-12Hz
65,1,0.5882352941176471,2,10-12Hz
66,1,0.9285714285714286,0,10-12Hz
67,1,0.7727272727272727,1,10-12Hz
68,1,0.75,2,10-12Hz
69,1,1.0,0,10-12Hz
70,1,0.8571428571428571,1,10-12Hz
71,1,0.8571428571428571,2,10-12Hz
72,1,0.9523809523809523,0,10-12Hz
73,1,0.6875,1,10-12Hz
74,1,0.8260869565217391,2,10-12Hz
75,1,1.0,0,10-12Hz
76,1,0.8095238095238095,1,10-12Hz
77,1,0.7391304347826086,2,10-12Hz
78,1,1.0,0,10-12Hz
79,1,0.7777777777777778,1,10-12Hz
