,patient,accuracy,class,channels
0,1,1.0,0,2
1,1,0.5714285714285714,1,2
2,1,0.55,2,2
3,1,1.0,0,2
4,1,0.23529411764705882,1,2
5,1,0.5882352941176471,2,2
6,1,1.0,0,2
7,1,0.6363636363636364,1,2
8,1,0.3333333333333333,2,2
9,1,1.0,0,2
10,1,0.5238095238095238,1,2
11,1,0.42857142857142855,2,2
12,1,0.9523809523809523,0,2
13,1,0.8125,1,2
14,1,0.21739130434782608,2,2
15,1,1.0,0,2
16,1,0.7142857142857143,1,2
17,1,0.43478260869565216,2,2
18,1,1.0,0,2
19,1,0.5,1,2
20,1,0.2,2,2
21,1,1.0,0,2
22,1,0.5454545454545454,1,2
23,1,0.3333333333333333,2,2
24,1,1.0,0,2
25,1,0.4090909090909091,1,2
26,1,0.6,2,2
27,1,0.9473684210526315,0,2
28,1,0.4444444444444444,1,2
29,1,0.30434782608695654,2,2
30,1,1.0,0,10
31,1,0.7619047619047619,1,10
32,1,0.9,2,10
33,1,1.0,0,10
34,1,0.9411764705882353,1,10
35,1,0.5882352941176471,2,10
36,1,1.0,0,10
37,1,0.6363636363636364,1,10
38,1,0.6666666666666666,2,10
39,1,1.0,0,10
40,1,0.7619047619047619,1,10
41,1,0.8095238095238095,2,10
42,1,1.0,0,10
43,1,0.8125,1,10
44,1,0.6956521739130435,2,10
45,1,1.0,0,10
46,1,0.8571428571428571,1,10
47,1,0.6956521739130435,2,10
48,1,1.0,0,10
49,1,0.8333333333333334,1,10
50,1,0.8,2,10
51,1,1.0,0,10
52,1,0.8636363636363636,1,10
53,1,0.6666666666666666,2,10
54,1,1.0,0,10
55,1,0.6818181818181818,1,10
56,1,0.65,2,10
57,1,1.0,0,10
58,1,0.6666666666666666,1,10
59,1,0.7391304347826086,2,10
60,1,1.0,0,18
61,1,0.6666666666666666,1,18
62,1,0.65,2,18
63,1,1.0,0,18
64,1,0.7647058823529411,1,18
65,1,0.35294117647058826,2,18
66,1,1.0,0,18
67,1,0.4090909090909091,1,18
68,1,0.4583333333333333,2,18
69,1,1.0,0,18
70,1,0.42857142857142855,1,18
71,1,0.2857142857142857,2,18
72,1,0.9523809523809523,0,18
73,1,0.5,1,18
74,1,0.30434782608695654,2,18
75,1,1.0,0,18
76,1,0.6190476190476191,1,18
77,1,0.30434782608695654,2,18
78,1,1.0,0,18
79,1,0.2222222222222222,1,18
80,1,0.45,2,18
