,patient,structure,train,test
0,1,hierarchical,0.44048020000000054,0.012542200000000392
1,1,multiclass unbalanced,0.31152359999999923,0.00892230000000005
2,1,multiclass balanced,0.2537445000000016,0.006721799999999334
3,2,hierarchical,0.42784909999999954,0.014265900000001608
4,2,multiclass unbalanced,0.3103845000000014,0.00741520000000051
5,2,multiclass balanced,0.2529471000000001,0.007078599999999824
6,3,hierarchical,0.4336564999999979,0.013977900000000432
7,3,multiclass unbalanced,0.343117399999997,0.00780120000000295
8,3,multiclass balanced,0.25276850000000195,0.005398800000001813
9,4,hierarchical,0.41439010000000565,0.013838100000000964
10,4,multiclass unbalanced,0.3658494000000019,0.007417900000000088
11,4,multiclass balanced,0.25497890000000467,0.005769699999994771
12,5,hierarchical,0.4334808999999993,0.012637900000001423
13,5,multiclass unbalanced,0.31973840000000564,0.007645000000003677
14,5,multiclass balanced,0.25368539999999484,0.0061473000000091815
15,6,hierarchical,0.3664588999999978,0.012881400000011922
16,6,multiclass unbalanced,0.276970999999989,0.00791900000000112
17,6,multiclass balanced,0.2177472999999992,0.005096500000007609
18,7,hierarchical,0.5252253999999965,0.017588199999991616
19,7,multiclass unbalanced,0.38570590000000493,0.008668099999994183
20,7,multiclass balanced,0.2769925999999998,0.00645889999999838
21,8,hierarchical,0.3942186000000021,0.01350460000000453
22,8,multiclass unbalanced,0.3146654999999896,0.008040400000012937
23,8,multiclass balanced,0.23070909999999856,0.005366299999991497
24,9,hierarchical,0.5456028000000117,0.0201443999999924
25,9,multiclass unbalanced,0.44576519999999675,0.009518900000003327
26,9,multiclass balanced,0.28964660000001174,0.007484400000009828
27,10,hierarchical,0.4023178999999999,0.013974900000008006
28,10,multiclass unbalanced,0.3349081000000069,0.007913500000000795
29,10,multiclass balanced,0.27842640000000074,0.005643099999986134
30,11,hierarchical,0.4108483999999919,0.013967299999990246
31,11,multiclass unbalanced,0.3132114999999942,0.008145399999989422
32,11,multiclass balanced,0.2570647000000008,0.0059761999999921045
33,12,hierarchical,0.35945940000001997,0.01218320000000972
34,12,multiclass unbalanced,0.26512460000000715,0.00841939999997976
35,12,multiclass balanced,0.2210249000000033,0.006129399999991847
36,13,hierarchical,0.4222855000000152,0.01332890000000475
37,13,multiclass unbalanced,0.3378955000000019,0.0075703999999916505
38,13,multiclass balanced,0.2519999000000155,0.006991200000015851
39,14,hierarchical,0.39524280000000545,0.014709299999992709
40,14,multiclass unbalanced,0.37412999999997965,0.007035300000012512
41,14,multiclass balanced,0.31442540000000463,0.0066428000000087195
42,15,hierarchical,0.392113500000022,0.015359900000021298
43,15,multiclass unbalanced,0.3114448999999979,0.007264199999980292
44,15,multiclass balanced,0.22777170000000524,0.005664099999989958
45,16,hierarchical,0.4241653999999926,0.01361730000002126
46,16,multiclass unbalanced,0.3017408000000046,0.006970300000006091
47,16,multiclass balanced,0.2477162000000135,0.006378400000016882
48,17,hierarchical,0.4017641000000083,0.01649540000002503
49,17,multiclass unbalanced,0.334996799999999,0.007573899999982814
50,17,multiclass balanced,0.2537710000000004,0.0074175999999965825
51,18,hierarchical,0.4293659999999875,0.0141145999999992
52,18,multiclass unbalanced,0.34140899999999874,0.007765100000000302
53,18,multiclass balanced,0.2503761000000111,0.005968800000005103
54,19,hierarchical,0.313643600000006,0.011551300000007814
55,19,multiclass unbalanced,0.28947560000000294,0.006583000000006223
56,19,multiclass balanced,0.24065589999997883,0.005061000000011973
57,20,hierarchical,0.18127090000001544,0.005809400000003961
58,20,multiclass unbalanced,0.17960189999999443,0.002623900000003232
59,20,multiclass balanced,0.14147450000001527,0.002631899999983034
60,21,hierarchical,0.46268350000002556,0.015608499999984815
61,21,multiclass unbalanced,0.31165490000000773,0.008406499999978223
62,21,multiclass balanced,0.27029999999996335,0.00799330000000964
63,22,hierarchical,0.4341823000000318,0.012878199999988738
64,22,multiclass unbalanced,0.3308785000000398,0.0073104999999600295
65,22,multiclass balanced,0.2874262999999928,0.005716199999994842
66,23,hierarchical,0.42520779999995284,0.01529160000001184
67,23,multiclass unbalanced,0.3865711999999917,0.0075035000000411856
68,23,multiclass balanced,0.29866029999999455,0.005878100000018094
69,24,hierarchical,0.478861199999983,0.018096099999979742
70,24,multiclass unbalanced,0.3151943000000301,0.007531599999992977
71,24,multiclass balanced,0.2524348999999688,0.005855800000006184
72,25,hierarchical,0.40641119999997954,0.014710300000047027
73,25,multiclass unbalanced,0.34371800000002395,0.008507000000008702
